タイトル,システム,URL
登校班と変態おじさん,インセイン,https://booth.pm/ja/items/982251
桃幻郷にて錆を呑め,クトゥルフ,https://booth.pm/ja/items/3113937
魔法少女の×し方,クトゥルフ,https://booth.pm/ja/items/2912919
魔法少女希望譚,クトゥルフ,https://booth.pm/ja/items/2267477
未明に眠るブルー,インセイン,https://booth.pm/ja/items/3467696
勿忘草を探して,インセイン,https://docs.google.com/document/d/1iFddXg_fwBLZN4RE92tcoXgNTWsCPluxLq-DEGZdz8Q/edit?tab=t.0#heading=h.mbjsiz6n6jlo
幽霊堂と怪異録,クトゥルフ,https://obakeusagi.booth.pm/items/5387809
有求必應,クトゥルフ,https://booth.pm/ja/items/1649345
隣のお姉さんが殺人鬼かもしれないんだが,インセイン,https://booth.pm/ja/items/609297
咆哮エトランゼ,クトゥルフ,https://booth.pm/ja/items/1914129
爛爛,クトゥルフ,https://booth.pm/ja/items/3086808
黎明、遥か彼方まで,クトゥルフ,https://booth.pm/ja/items/5050857
㐂異界,クトゥルフ,https://stmtg.booth.pm/items/7108908
㐂梗公立高等学校七不思議譚,クトゥルフ,https://booth.pm/ja/items/6773356
