id,名前,システム,年齢,性別,誕生日,職業
pc059,朱雀,クトゥルフ,-,男,-,式神
pc060,波紗野 夏詩,クトゥルフ,19,男,7月28日,アイドル
pc061,茅切 仁遥,インセイン,17,男,10月21日,高校生
pc062,舘谷 僚,インセイン,21,男,8月31日,大学生
pc063,音琴 栞季,インセイン,21,女,9月1日,大学生
pc064,ウェズ・A・ハモンド,クトゥルフ,25,男,4月14日,指導者
pc065,米谷 亞月,クトゥルフ,19,女,8月2日,大学生
pc066,岨木 恭佑,クトゥルフ,26,男,1月21日,道場破ラー
pc067,桃塚 侑,クトゥルフ,21,男,6月25日,アルバイト
pc068,ノエル・ダークネス・ダンバー,クトゥルフ,-,男,1月1日,邪神
pc069,䨺龘 紗来,クトゥルフ,19,男,10月17日,不良
pc070,旭,クトゥルフ,-,男,-,旧型アンドロイド
pc071,リトル・メアリー・アイネソン,クトゥルフ,7,女,12月4日,ようじょ
pc072,鮫島 秋水,クトゥルフ,32,男,9月18日,ボディーガード
pc073,水沫 莉瑚,クトゥルフ,17,女,6月3日,高校生
pc074,シュリエ,クトゥルフ,-,男,10月4日,天使
pc075,卯木 陽翔,クトゥルフ,17,男,3月12日,人間
pc076,白鞘 海智,クトゥルフ,25,男,9月7日,公務員
pc077,レモ・ロッシ・マルケイ,クトゥルフ,24,男,3月20日,構成員
pc078,ホープ,クトゥルフ,-,男,3月17日,ヤンキー
pc079,古滝 紬葵,クトゥルフ,17,男,7月20日,高校生
pc080,大牧 貴陽,クトゥルフ,12,男,7月6日,小学生
pc081,ロルフ・リリェフォルス,クトゥルフ,16,男,11月9日,芸術家
pc082,アルシャト,クトゥルフ,16,男,4月20日,黒山羊
pc083,梅咲 千夢,クトゥルフ,25,男,10月11日,殺し屋
pc084,アイゼア・ヴァルゴ,クトゥルフ,27,男,8月27日,探偵
pc085,結雛,クトゥルフ,23,女,5月1日,獄官
pc086,佐藤 篠,クトゥルフ,-,男,7月29日,陰陽師見習い
pc087,香皜 彪向,クトゥルフ,20,男,,大学生
pc088,シャウラ,クトゥルフ,18,男,,黒山羊
pc089,潢間 麟禾,クトゥルフ,23,男,,教祖
pc090,ジュード・アダムス,クトゥルフ,13,男,,学生
pc091,七緒 美樹,クトゥルフ,25,男,1月2日,シンガーソングライター
pc092,羅北,クトゥルフ,23,女,6月7日,不幸屋
pc093,眞清水 佑龍,クトゥルフ,24,男,3月23日,消防士
pc094,癒月 正一郎,クトゥルフ,30,男,10月13日,精神科医
pc095,烾萩 秌火,クトゥルフ,19,男,12月10日,大学生
pc096,ミーシャ,クトゥルフ,15,男,,天使
pc097,夕霧,クトゥルフ,-,-,8月29日,-
pc098,樅木 椎㮈,クトゥルフ,23,男,2月17日,俳優
pc099,黄斑 花蜂,インセイン,17,男,,学生
pc100,ナシラ,クトゥルフ,12,男,5月14日,黒山羊
pc101,朋月 望,クトゥルフ,22,女,7月12日,狂信者
pc102,鈴金 錺,クトゥルフ,24,男,,漫画家
pc103,芦屋 天,マギカロギア,215,男,,高校生
pc104,惺央堂 エリス,クトゥルフ,21,男,2月23日,ディレッタント
pc105,丁香花,クトゥルフ,24,男,5月30日,風俗
pc106,リコ・ライモンド,クトゥルフ,25,男,7月19日,美術商
pc107,八識 巨児,クトゥルフ,25,男,8月8日,神父
pc108,縁梨 瑞晴,クトゥルフ,28,男,12月4日,落語家
pc109,小栢 燕,クトゥルフ,24,男,2月9日,探偵
pc110,千嶋 雀,クトゥルフ,17,男,3月28日,高校生
pc111,蘭,クトゥルフ,-,男,-,神
pc112,鴛海 來久斗,クトゥルフ,21,男,4月19日,大学生
pc113,麗明 嵐,クトゥルフ,-,男,-,裏人格
pc114,呻 䎶眒,クトゥルフ,16,女,1月16日,高校生
pc115,烽火,クトゥルフ,23,男,4月8日,刀鍛冶
pc116,柄木田 七音,クトゥルフ,21,男,6月12日,大学生
pc117,フラハ,クトゥルフ,-,両性,-,神話生物
pc118,ジュバ,クトゥルフ,17,男,9月9日,曲芸師
pc119,星叶 結七,クトゥルフ,27,女,1月7日,専業主婦
pc120,榮凪雷,クトゥルフ,22,男,8月18日,殺し屋
pc121,サイラス・オウルズ,クトゥルフ,27,男,6月16日,ジャーナリスト
pc122,弥永 やや,インセイン,17,女,5月21日,高校生
pc123,鷺原 灯,クトゥルフ,25,男,9月3日,刑事
pc124,アメル,クトゥルフ,-,男,-,異端審問課
pc125,アーレン,クトゥルフ,17,男,6月20日,黒山羊
pc126,ブラック,クトゥルフ,500,男,-,吸血鬼
pc127,久瀬 秋紗,インセイン,18,男,10月8日,大学生
pc128,ネリナ,クトゥルフ,19,女,7月19日,フィリグ族
pc129,狼谷 慎,クトゥルフ,29,男,9月8日,高校教師
pc130,永葵,クトゥルフ,29,男,7月26日,調合師
pc131,彰原 千桜,フタリソウサ,17,男,,高校生
pc132,マサムネ,クトゥルフ,-,男,-,ギャング
pc133,天城 昴,クトゥルフ,26,男,,科学館職員
pc134,志風 レオ,クトゥルフ,28,男,8月17日,刑事
pc135,杜若 迅,クトゥルフ,19,男,10月12日,怪事庁職員
pc136,セオドア・リード,クトゥルフ,22,男,12月17日,FBI特別捜査官
pc137,壺井 泰二郎,フタリソウサ,31,男,4月13日,刑事
pc138,珀舞,クトゥルフ,19,男,11月20日,生神
